country,alpha3code,pop,density,medianage,urbanpop,smokers,lung,gdp2019,healthexp,healthperpop,avgtemp,avghumidity,firstcase
Honduras,HND,"9,904,607",89.0,24.0,57.0,17.7,21.39,"24,449",353,35.63998047,28.48333333,69.05,3/10/2020
Hungary,HUN,"9,660,351",107.0,43.0,72.0,28.4,27.68,"170,407","1,912",197.922415,9.766666667,64.73333333,3/3/2020
Iceland,ISL,"341,243",3.0,37.0,94.0,16.05,19.71,"23,918","4,116",12061.78588,0.7,74.73333333,2/27/2020
India,IND,"1,380,004,385",464.0,28.0,35.0,11.15,96.92,"2,935,570",238,0.17246322,26.53333333,44.3,1/29/2020
Indonesia,IDN,"273,523,615",151.0,30.0,56.0,39.9,36.26,"1,111,713",369,1.3490608480000001,32.91666667,62.03333333,3/1/2020
Iran,IRN,"83,992,949",52.0,32.0,76.0,11.1,18.84,"458,500","1,262",15.02507074,11.91666667,44.28333333,2/18/2020
Iraq,IRQ,"40,222,493",93.0,21.0,73.0,,8.56,"224,462",481,11.95848303,20.3,41.76666667,2/21/2020
Ireland,IRL,"4,937,786",72.0,38.0,63.0,22.15,24.92,"384,940","5,335",1080.443745,8.3,80.08333333,2/28/2020
Israel,ISR,"8,655,535",400.0,30.0,93.0,30.25,16.1,"387,717","2,819",325.6875514,13.76666667,73.61666667,2/20/2020
Italy,ITA,"60,461,826",206.0,47.0,69.0,24.0,17.0,"1,988,636","3,351",55.42340054,15.78333333,64.78333333,1/29/2020
Jamaica,JAM,"2,961,167",273.0,31.0,55.0,17.9,15.74,"15,702",511,172.5670994,28.48333333,74.26666667,3/9/2020
Japan,JPN,"126,476,461",347.0,48.0,92.0,22.15,12.17,"5,154,475","4,405",34.82861526,13.26666667,51.0,1/14/2020
Jersey,JEY,"106,800",819.0,38.0,98.0,23.4,,"56,600",,61.05823481,9.9,79.15,
Jordan,JOR,"10,203,134",115.0,24.0,91.0,40.45,14.54,"44,172",568,55.66916988,13.58333333,70.25,3/1/2020
Kazakhstan,KAZ,"18,776,707",7.0,31.0,58.0,26.6,114.28,"170,326",903,48.09149975,-4.816666667,89.13333333,3/12/2020
Kenya,KEN,"53,771,296",94.0,20.0,28.0,13.35,19.15,"98,607",157,2.919773405,26.13333333,71.4,3/12/2020
"Korea, South",KOR,"51,269,185",527.0,44.0,82.0,27.0,10.48,"1,629,532","2,556",49.85450812,5.9,63.48333333,1/19/2020
Kosovo,,"1,810,463",159.0,29.0,65.0,,,"7,996",177,97.76504684,9.216666667,74.68333333,
Kuwait,KWT,"4,270,571",240.0,37.0,92.0,,10.99,"137,591","2,978",697.330638,19.93333333,49.78333333,2/23/2020
Kyrgyzstan,KGZ,"6,524,195",34.0,26.0,36.0,27.0,39.59,"8,261",287,43.99010146,7.3,65.6,3/17/2020
Laos,LAO,"7,275,560",32.0,24.4,35.7,32.85,36.62,"19,127",166,22.81611312,,,3/23/2020
Latvia,LVA,"1,886,198",30.0,44.0,69.0,36.6,8.06,"35,045","1,429",757.6086922000001,4.833333333,78.66666667,3/1/2020
Lebanon,LBN,"6,825,445",667.0,30.0,78.0,38.2,17.28,"58,565","1,117",163.6523333,15.98333333,66.01666667,2/20/2020
Liberia,LBR,"5,057,681",53.0,19.0,53.0,15.0,17.35,"3,221",128,25.30804137,30.28333333,79.83333333,3/15/2020
Libya,LBY,"6,847,352",4.0,28.8,78.2,,22.09,"33,018",,,,,3/23/2020
Liechtenstein,LIE,"38,128",109.0,41.0,15.0,,,"6,295",94,2465.379773,5.8833333329999995,78.96666667,3/2/2020
Lithuania,LTU,"2,722,289",43.0,45.0,71.0,30.15,11.5,"53,641","1,875",688.7586144999999,4.416666667,80.9,2/27/2020
Luxembourg,LUX,"625,978",242.0,40.0,88.0,23.6,20.52,"69,453","6,382",10195.24648,8.0,84.18333333,2/28/2020
China,MAC,,,,,,,"55,136",,,,,1/21/2020
Madagascar,MDG,"27,691,018",48.0,19.6,38.5,,34.22,"12,550",77,2.780685058,,,3/19/2020
Malaysia,MYS,"32,365,999",99.0,30.0,78.0,22.2,23.73,"365,303","1,064",32.874004600000006,33.86666667,72.68333333,1/24/2020
Maldives,MDV,"540,544",1802.0,30.0,35.0,,26.7,"5,786","1,514",2800.8820739999996,28.28333333,75.06666667,3/6/2020
Mali,MLI,"20,250,833",17.0,16.3,44.0,20.0,44.55,"17,647",118,5.826920799,,,3/24/2020
Malta,MLT,"441,543",1380.0,43.0,93.0,24.95,12.05,"14,859","3,471",7861.069023999999,15.6,73.1,3/6/2020
France,MTQ,"375,265",354.0,47.0,92.0,,,11278,,69.58412272,26.55,75.5,3/4/2020
Mauritania,MRT,"4,649,658",5.0,20.0,57.0,23.85,19.71,"5,651",177,38.06731592,30.88333333,30.8,3/12/2020
